MultiwiniaOptions_StartDefinition
	GameTypes	Domination 
	PopulationCap	5000
	NumPlayers	4
	StaticShape         55      1270.03 1375.18 1       1.00    0.00    0         1.00  temple2.shp  
	SpawnLink           56      1270.03 1375.18 1       1.00    0.00    0       70    
	SpawnLink           57      1384.66 1339.53 1       1.00    0.00    0       16    
	SpawnLink           58      1500.02 1313.14 1       1.00    0.00    0       84    86    
	SpawnLink           59      1622.13 1333.52 1       1.00    0.00    0       19    
	SpawnLink           60      1732.75 1376.35 1       1.00    0.00    0       66    
	SpawnLink           61      1277.59 1610.65 1       1.00    0.00    0       72    
	SpawnLink           62      1377.21 1654.26 1       1.00    0.00    0       17    
	SpawnLink           63      1492.85 1681.71 1       1.00    0.00    0       74    75    
	SpawnLink           64      1611.34 1654.35 1       1.00    0.00    0       18    
	SpawnLink           65      1731.48 1608.44 1       1.00    0.00    0       68    
	SpawnLink           66      1968.19 1250.20 1       1.00    0.00    0       67    
	SpawnLink           67      1969.72 996.63  1       1.00    0.00    0       2     3     
	SpawnLink           68      1977.94 1761.30 1       1.00    0.00    0       69    
	SpawnLink           69      2026.16 2023.93 1       1.00    0.00    0       1     0     
	SpawnLink           70      1053.18 1234.88 1       1.00    0.00    0       71    
	SpawnLink           71      1045.90 932.41  1       1.00    0.00    0       7     6     
	SpawnLink           72      1049.55 1771.08 1       1.00    0.00    0       73    
	SpawnLink           73      1054.25 2022.75 1       1.00    0.00    0       4     5     
	SpawnLink           74      1255.16 2038.37 1       1.00    0.00    0       78    
	SpawnLink           75      1746.22 2027.35 1       1.00    0.00    0       77    
	SpawnLink           77      1242.42 2428.12 1       1.00    0.00    0       76    
	SpawnLink           78      1760.98 2428.63 1       1.00    0.00    0       79    
	SpawnLink           76      1241.41 2929.18 1       1.00    0.00    0       14    82    
	SpawnLink           79      1768.05 2934.45 1       1.00    0.00    0       15    80    
	SpawnLink           80      2168.01 2937.97 1       1.00    0.00    0       81    
	SpawnLink           81      2521.31 2941.58 1       1.00    0.00    0       13    
	SpawnLink           82      909.71  2926.88 1       1.00    0.00    0       83    
	SpawnLink           83      549.57  2949.29 1       1.00    0.00    0       12    
	SpawnLink           84      1242.17 927.49  1       1.00    0.00    0       87    
	SpawnLink           85      1229.93 545.95  1       1.00    0.00    0       89    
	SpawnLink           86      1755.23 928.10  1       1.00    0.00    0       85    
	SpawnLink           87      1742.99 580.53  1       1.00    0.00    0       88    
	SpawnLink           88      1729.88 81.55   1       1.00    0.00    0       9     91    
	SpawnLink           89      1228.62 61.35   1       1.00    0.00    0       11    92    
	SpawnLink           90      2532.41 52.77   1       1.00    0.00    0       10    
	SpawnLink           91      2145.65 61.89   1       1.00    0.00    0       90    
	SpawnLink           92      874.41  47.66   1       1.00    0.00    0       93    
	SpawnLink           93      522.18  50.48   1       1.00    0.00    0       8     
	AITarget            101     2741.62 2098.99 1       1.00    0.00    0       
	AITarget            102     2715.73 895.11  1       1.00    0.00    0       
	AITarget            103     336.67  2097.30 1       1.00    0.00    0       
	AITarget            104     314.28  906.63  1       1.00    0.00    0       
	AITarget            105     1322.20 1494.85 1       1.00    0.00    0       
	AITarget            106     1665.20 1491.61 1       1.00    0.00    0       
	AITarget            107     2178.38 2074.66 1       1.00    0.00    0       
	AITarget            108     2127.14 1516.76 1       1.00    0.00    0       
	AITarget            109     2144.84 891.50  1       1.00    0.00    0       
	AITarget            110     2767.43 1502.84 1       1.00    0.00    0       
	AITarget            111     285.48  1487.45 1       1.00    0.00    0       
	AITarget            112     925.62  1491.41 1       1.00    0.00    0       
	AITarget            113     897.22  2076.29 1       1.00    0.00    0       
	AITarget            114     894.30  882.85  1       1.00    0.00    0       
	AITarget            115     2665.32 2726.11 1       1.00    0.00    0       
	AITarget            116     1496.29 2833.69 1       1.00    0.00    0       
	AITarget            117     410.56  2688.97 1       1.00    0.00    0       
	AITarget            118     2661.99 311.83  1       1.00    0.00    0       
	AITarget            119     1472.01 178.13  1       1.00    0.00    0       
	AITarget            120     386.76  286.29  1       1.00    0.00    0       
	AITarget            121     737.68  88.06   1       1.00    0.00    0       
	AITarget            122     739.51  283.10  1       1.00    0.00    0       
	AITarget            123     734.38  469.64  1       1.00    0.00    0       
	AITarget            124     1184.94 492.69  1       1.00    0.00    0       
	AITarget            125     1203.49 297.80  1       1.00    0.00    0       
	AITarget            126     1186.39 131.08  1       1.00    0.00    0       
	AITarget            127     1745.91 126.33  1       1.00    0.00    0       
	AITarget            128     1749.75 524.65  1       1.00    0.00    0       
	AITarget            129     1740.82 306.42  1       1.00    0.00    0       
	AITarget            130     2277.80 525.51  1       1.00    0.00    0       
	AITarget            131     2282.10 135.54  1       1.00    0.00    0       
	AITarget            132     2283.21 317.25  1       1.00    0.00    0       
	AITarget            133     1494.38 555.90  1       1.00    0.00    0       
	AITarget            134     1302.51 794.54  1       1.00    0.00    0       
	AITarget            135     1700.87 794.65  1       1.00    0.00    0       
	AITarget            136     1364.10 1067.43 1       1.00    0.00    0       
	AITarget            137     1629.58 1071.92 1       1.00    0.00    0       
	AITarget            138     1678.00 1351.36 1       1.00    0.00    0       
	AITarget            139     1559.44 1320.59 1       1.00    0.00    0       
	AITarget            140     1442.93 1322.26 1       1.00    0.00    0       
	AITarget            141     1328.50 1362.53 1       1.00    0.00    0       
	AITarget            142     1500.53 1403.46 1       1.00    0.00    0       
	AITarget            143     1498.91 1581.80 1       1.00    0.00    0       
	AITarget            144     1325.12 1639.52 1       1.00    0.00    0       
	AITarget            145     1434.80 1668.34 1       1.00    0.00    0       
	AITarget            146     1554.14 1670.26 1       1.00    0.00    0       
	AITarget            147     1673.88 1636.93 1       1.00    0.00    0       
	AITarget            148     2313.54 2931.95 1       1.00    0.00    0       
	AITarget            149     2317.62 2472.03 1       1.00    0.00    0       
	AITarget            150     2319.04 2705.41 1       1.00    0.00    0       
	AITarget            151     1825.24 2904.07 1       1.00    0.00    0       
	AITarget            152     1825.87 2467.36 1       1.00    0.00    0       
	AITarget            153     1835.20 2692.37 1       1.00    0.00    0       
	AITarget            154     1201.70 2458.16 1       1.00    0.00    0       
	AITarget            155     1191.86 2896.42 1       1.00    0.00    0       
	AITarget            156     1193.18 2684.71 1       1.00    0.00    0       
	AITarget            157     805.09  2689.52 1       1.00    0.00    0       
	AITarget            158     807.46  2454.49 1       1.00    0.00    0       
	AITarget            159     810.75  2914.45 1       1.00    0.00    0       
	AITarget            160     1495.24 2423.66 1       1.00    0.00    0       
	AITarget            161     1279.68 2199.08 1       1.00    0.00    0       
	AITarget            162     1658.23 2212.77 1       1.00    0.00    0       
	AITarget            163     1631.30 1918.33 1       1.00    0.00    0       
	AITarget            164     1354.67 1924.67 1       1.00    0.00    0       
Buildings_EndDefinition

