MultiwiniaOptions_StartDefinition
	GameTypes	Assault 
	PopulationCap	5000
	DefenderPopulationCap	1500
	NumPlayers	2
	LevelOptions	trunkportreinforcements 125	
	InvalidCrates	Squad	Airstrike	Nuke	Meteor	
	Difficulty	basic
	AttackingTeams	1 
	WallBuster          38      1620.54 1486.94 1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          39      1281.74 1714.68 1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          40      971.26  1711.73 1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          41      879.15  1710.84 1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          42      598.37  1708.16 1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          43      463.03  1706.84 1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          45      1728.56 1298.99 1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          46      1725.87 1019.48 1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          47      1724.32 858.01  1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          48      1722.28 646.16  1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0       
	WallBuster          49      1720.76 486.65  1       1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -1          -1          0    
	PulseBomb           29      254.33  215.76  0       0.02    1.00    0       900.00  33  34  35       
	ControlStation      33      189.58  494.52  0       1.00    0.00    0           -1 
	ControlStation      34      499.71  136.30  0       1.00    0.00    0           -1 
	ControlStation      35      798.12  788.96  0       1.00    0.00    0           -1
        TrunkPort           193     1929.36 763.42  1       -1.00   0.01    1       -1      
	TrunkPort           194     1722.22 1903.78 1       -0.74   -0.68   1       -1      
	TrunkPort           195     727.42  1938.89 1       -0.05   -1.00   1       -1      
	TrunkPort           196     400.61  48.35   0       0.04    1.00    1       -1      
	TrunkPort           197     92.04   407.32  0       1.00    0.00    1       -1
	LaserFence          92      162.20  672.01  0       1.00    0.00    0       120     1.00  2
	LaserFence          120     72.25   671.57  1       -1.00   0.01    0       -1      1.00  0
	LaserFence          152     690.61  49.84   0       -0.03   -1.00   0       153     1.00  2
	LaserFence          153     689.86  120.80  0       -0.03   1.00    0       -1      1.00  0
	LaserFence          76      986.08  475.23  0       -0.03   1.00    0       -1      1.00  0
	LaserFence          77      986.49  391.36  0       0.02    -1.00   0       76      1.00  2
	LaserFence          107     395.92  997.04  1       -1.00   -0.01   0       -1      1.00  0
	LaserFence          108     479.20  996.05  0       1.00    0.00    0       107     1.00  2
	LaserFence          22      944.66  1338.78 0       -1.00   -0.01   0       61      1.00  2
	LaserFence          61      1022.27 1339.28 0       1.00    0.00    0       -1      1.00  0
	LaserFence          165     1328.77 1084.89 0       0.02    1.00    0       166     1.00  2
	LaserFence          166     1328.52 999.61  1       -0.03   -1.00   0       -1      1.00  0
	TrunkPort           201     1891.48 1731.17 1       -0.74   -0.68   1       -1             
Buildings_EndDefinition

CameraMounts_StartDefinition
CameraMounts_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
        Darwinian        1  349.19  1801.13     200  0      -1    25.0     0.0     0.0   -1   -1    0
        Darwinian        1  717.89  1815.08     200  0      -1    25.0     0.0     0.0   -1   -1    0
        Darwinian        1  1107.57 1816.04     200  0      -1    25.0     0.0     0.0   -1   -1    0
        Darwinian        1  1696.62 1725.52     500  0      -1    50.0     0.0     0.0   -1   -1    0
        Darwinian        1  1836.17 1178.19     200  0      -1    25.0     0.0     0.0   -1   -1    0
        Darwinian        1  1825.74 763.56      200  0      -1    25.0     0.0     0.0   -1   -1    0
        Darwinian        1  1833.71 379.33      200  0      -1    25.0     0.0     0.0   -1   -1    0
        Darwinian        0  1157.64 429.28      300  0      -1    30.0     0.0     0.0   -1   -1    0
        Darwinian        0  1154.01 1152.42     150  0      -1    30.0     0.0     0.0   -1   -1    0
        Darwinian        0  478.18  1172.68     300  0      -1    30.0     0.0     0.0   -1   -1    0
        Darwinian        0  743.91  745.98      200  0      -1    30.0     0.0     0.0   -1   -1    0
        Darwinian        0  566.52  552.16      200  0      -1    30.0     0.0     0.0   -1   -1    0
        Darwinian        0  961.04  972.07      4    0      -1    10.0     0.0     0.0   -1   -1    0
        Darwinian        0  969.02  328.96      4    0      -1    10.0     0.0     0.0   -1   -1    0
        Darwinian        0  344.80  984.32      4    0      -1    10.0     0.0     0.0   -1   -1    0
        Darwinian        0  224.63  552.46      4    0      -1    10.0     0.0     0.0   -1   -1    0
        Darwinian        0  551.06  198.37      4    0      -1    10.0     0.0     0.0   -1   -1    0
        Darwinian        0  189.58  494.52      5    0      -1    10.0     0.0     0.0   -1   -1    0
        Darwinian        0  499.71  136.30      5    0      -1    10.0     0.0     0.0   -1   -1    0
        Darwinian        0  798.12  788.96      5    0      -1    10.0     0.0     0.0   -1   -1    0

