MultiwiniaOptions_StartDefinition
	GameTypes	Domination 
	PopulationCap	8000
	DefenderPopulationCap	-1
        InvalidCrates   slowdown speedup armour
        LevelOptions    noradarcontrol
	NumPlayers	4
	Difficulty	advanced
	  1217   0.00    613    500  1.20   1.00     50      1 295570   1.00     0
	  1944   0.00    185    700  1.20   1.00     50      1 177812   1.00     0
	  1137   0.00   3581    500  1.20   1.00     50      1 1687806   1.00     0
	   955   0.00   3468    600  1.20   1.00     50      1 1765198   1.00     0
	  1838   0.00   4064    700  1.20   1.00     50      1 2828295   1.00     0
	  2368   0.00   3989    600  1.20   1.00     50      1 2818295   1.00     0
	  1951   0.00   4493    384  1.20   1.00     20      1 2953777   1.00     0
	  1132   0.00   1127    500  1.20   1.00     10      1 5586370   1.00     0
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	2086.4    5.0 1884.1  150.0
	 288.7    5.0 2401.9  150.0
	4016.5   30.0  314.7   60.0
	 869.5   12.6 2223.2   75.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	 -0.75   0.44   0.50     0.85   0.85   0.85
	 -0.99   0.00   0.15     1.19   0.72   0.50
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	SpawnPoint          0       279.31  602.48  0       -0.46   0.89    0       
	SpawnPoint          1       468.75  1355.66 0       1.00    0.00    0       
	SpawnPoint          2       1275.58 1179.91 0       -0.59   0.81    0       
	SpawnPoint          3       1720.73 1398.41 0       -0.86   -0.52   0       
	SpawnPoint          4       1075.15 1737.18 0       -0.70   -0.71   0       
	SpawnPoint          5       868.10  2226.67 255     0.70    -0.72   0       
	SpawnPoint          6       1792.04 2975.43 1       -1.00   -0.08   0       
	SpawnPoint          7       1537.30 2395.54 1       -0.72   0.69    0       
	SpawnPoint          8       980.35  2692.56 1       0.36    -0.93   0       
	SpawnPoint          9       1207.40 3208.60 1       0.83    0.56    0       
	SpawnPoint          10      2862.45 1110.26 2       1.00    0.00    0       
	SpawnPoint          11      3306.88 1297.44 2       0.80    -0.61   0       
	SpawnPoint          12      3989.39 1027.17 2       -0.23   -0.97   0       
	SpawnPoint          13      4027.39 311.36  2       -0.80   0.60    0       
	SpawnPoint          14      4522.57 1158.48 2       -0.92   0.40    0       
	SpawnPoint          15      4649.32 1924.38 255     -1.00   -0.05   0       
	SpawnPoint          16      3814.63 2015.74 3       0.99    0.10    0       
	SpawnPoint          17      3799.45 2755.23 3       -0.74   -0.68   0       
	SpawnPoint          18      3103.37 3162.17 3       1.00    -0.05   0       
	SpawnPoint          19      3221.02 1877.14 3       -0.46   0.89    0          
	SpawnPoint          20      1406.34 3677.55 1       0.36    -0.93   0       
	SpawnLink           21      3353.32 3081.69 255     1.00    0.00    0       18    57    
	SpawnPoint          22      2796.56 2454.58 3       0.36    -0.93   0       
	SpawnPoint          23      2266.23 4418.06 1       1.00    0.00    0       
	RadarDish           24      1983.66 1774.37 255     0.75    0.66    1       0    1    25
	RadarDish           25      1542.95 1712.04 255     0.01    -1.00   1       0    1    24
	RadarDish           26      2182.46 1771.47 255     -0.75   0.66    1       0    1    27
	RadarDish           27      2552.87 1456.61 255     0.98    -0.18   1       0    1    26
	RadarDish           28      2191.94 1986.08 255     -0.68   -0.74   1       0    1    29
	RadarDish           29      2409.21 2164.21 255     1.00    0.07    1       0    1    28
	RadarDish           30      1986.85 1989.64 255     0.68    -0.74   1       0    1    31
	RadarDish           31      1990.02 2617.40 255     -0.75   0.66    1       0    1    30
	RadarDish           32      1070.44 3487.40 255     0.99    0.17    1       0    1    33
	RadarDish           33      294.29  2512.62 255     -0.04   -1.00   1       0    1    32
	RadarDish           34      287.18  2284.85 255     0.00    1.00    1       0    1    35
	RadarDish           35      418.16  974.83  255     0.33    -0.94   1       0    1    34
	RadarDish           36      1759.03 1025.03 255     -0.64   0.76    1       0    1    37
	RadarDish           37      2054.74 705.10  255     0.72    -0.69   1       0    1    36
	RadarDish           38      2516.28 412.25  255     -0.96   0.27    1       0    1    39
	RadarDish           39      3248.07 345.69  255     1.00    0.02    1       0    1    38
	SpawnPointMaster    40      2207.31 424.88  255     1.00    0.00    1       41    44    51    
	SpawnLink           41      1167.24 274.53  255     1.00    0.00    0       45    42    46
	SpawnLink           42      1049.28 1101.05 255     1.00    0.00    0       43    2     1     
	SpawnLink           43      486.99  1809.68 255     1.00    0.00    0       4     5     47    
	SpawnLink           44      1677.32 1568.25 255     1.00    0.00    0       3     48    50    71    
	SpawnLink           45      305.10  786.64  255     1.00    0.00    0       0     
	SpawnPoint          46      981.78  601.15  0       -0.92   0.38    0    
	SpawnLink           47      1019.92 2768.20 255     1.00    0.00    0       8     
	SpawnLink           48      1847.20 2061.79 255     1.00    0.00    0       49    55    7     
	SpawnLink           49      1327.71 2880.66 255     1.00    0.00    0       78    76    9     
	SpawnLink           50      2469.25 1344.50 255     1.00    0.00    0       52    10    
	SpawnLink           51      3596.10 618.99  255     1.00    0.00    0       13    53    56    72    
	SpawnLink           52      3344.64 1585.00 255     1.00    0.00    0       11    19    54    
	SpawnLink           53      3950.77 1257.10 255     1.00    0.00    0       12    14    
	SpawnLink           54      4085.35 2251.85 255     1.00    0.00    0       15    75    16
	SpawnLink           55      3036.64 2564.42 255     1.00    0.00    0       21    22    
	SpawnPoint          56      3528.08 768.83  2       -0.42   0.91    0       
	SpawnPoint          57      3699.99 3237.20 3       -0.90   0.44    0       
	RadarDish           58      1606.08 3280.62 255     -0.47   -0.88   1       0    1    59
	RadarDish           59      1936.26 4651.95 255     0.98    0.22    1       0    1    58
	RadarDish           60      2776.65 4129.12 255     -0.68   0.73    1       0    1    61
	RadarDish           61      3356.42 3517.68 255     0.52    -0.86   1       0    1    60
	AITarget            62      3636.29 3247.92 255     1.00    0.00    0       
	AITarget            63      3171.45 3157.10 255     1.00    0.00    0       
	AITarget            64      3793.96 2686.64 255     1.00    0.00    0       
	AITarget            65      3871.31 2020.10 255     1.00    0.00    0       
	AITarget            66      3198.62 1932.66 255     1.00    0.00    0       
	AITarget            67      2815.12 2402.40 255     1.00    0.00    0       
	AITarget            68      4595.75 1928.52 255     1.00    0.00    0       
	AITarget            69      4475.81 1188.32 255     1.00    0.00    0       
	AITarget            70      3971.83 972.80  255     1.00    0.00    0       
	SpawnPoint          71      1811.63 1343.67 0       -0.28   -0.96   0       
	SpawnPoint          72      3634.58 814.04  2       -0.37   0.93    0       
	SpawnPoint          73      3881.58 2697.24 3       -0.70   -0.71   0       
	SpawnPoint          74      1754.86 3087.06 1       -0.86   -0.52   0       
	SpawnLink           75      3922.81 2870.88 255     1.00    0.00    0       73    17    
	SpawnLink           76      1500.55 3520.72 255     1.00    0.00    0       20    77    
	SpawnLink           77      2201.44 4187.10 255     1.00    0.00    0       23    
	SpawnLink           78      1906.92 3073.20 255     1.00    0.00    0       74    6     
	AITarget            79      3981.25 358.54  255     1.00    0.00    0       -1    0.00 1
	AITarget            80      3568.40 834.90  255     1.00    0.00    0       -1    0.00 1
	AITarget            81      3347.13 1262.02 255     1.00    0.00    0       -1    0.00 1
	AITarget            82      2914.27 1110.42 255     1.00    0.00    0       -1    0.00 1
	AITarget            83      2695.41 2089.06 255     1.00    0.00    0       -1    0.00 1
	AITarget            84      3453.90 2362.30 255     1.00    0.00    0       -1    0.00 1
	AITarget            85      3258.84 2856.21 255     1.00    0.00    0       -1    0.00 1
	AITarget            86      3095.10 2508.31 255     1.00    0.00    0       -1    0.00 1
	AITarget            87      4042.63 2219.22 255     1.00    0.00    0       -1    0.00 1
	AITarget            88      3740.90 1482.09 255     1.00    0.00    0       -1    0.00 1
	AITarget            89      4354.91 1562.36 255     1.00    0.00    0       -1    0.00 1
	AITarget            90      4744.93 1496.40 255     1.00    0.00    0       -1    0.00 1
	AITarget            91      4115.90 757.61  255     1.00    0.00    0       -1    0.00 1
	AITarget            92      3206.72 678.35  255     1.00    0.00    0       -1    0.00 1
	AITarget            93      2094.28 1879.61 255     1.00    0.00    0       -1    0.00 1
	AITarget            94      1734.13 1333.60 255     1.00    0.00    0       -1    0.00 1
	AITarget            95      1242.28 1240.89 255     1.00    0.00    0       -1    0.00 1
	AITarget            96      1345.98 1566.32 255     1.00    0.00    0       -1    0.00 1
	AITarget            97      1043.87 1703.00 255     1.00    0.00    0       -1    0.00 1
	AITarget            98      534.61  1354.02 255     1.00    0.00    0       -1    0.00 1
	AITarget            99      551.26  872.25  255     1.00    0.00    0       -1    0.00 1
	AITarget            100     257.12  650.27  255     1.00    0.00    0       -1    0.00 1
	AITarget            101     925.32  626.17  255     1.00    0.00    0       -1    0.00 1
	AITarget            102     889.63  1101.82 255     1.00    0.00    0       -1    0.00 1
	AITarget            103     816.29  1965.52 255     1.00    0.00    0       -1    0.00 1
	AITarget            104     892.63  2177.27 255     1.00    0.00    0       -1    0.00 1
	AITarget            105     1499.42 2462.24 255     1.00    0.00    0       -1    0.00 1
	AITarget            106     1000.68 2638.23 255     1.00    0.00    0       -1    0.00 1
	AITarget            107     1708.66 3004.61 255     1.00    0.00    0       -1    0.00 1
	AITarget            108     1254.24 3234.60 255     1.00    0.00    0       -1    0.00 1
	AITarget            109     1420.75 3623.55 255     1.00    0.00    0       -1    0.00 1
	AITarget            110     293.90  2402.42 255     1.00    0.00    0       -1    0.00 1
	AITarget            111     1460.00 3197.26 255     1.00    0.00    0       -1    0.00 1
	AITarget            112     1240.37 2640.15 255     1.00    0.00    0       -1    0.00 1
	AITarget            113     2749.54 1713.08 255     1.00    0.00    0       -1    0.00 1
	AITarget            114     2729.23 1426.83 255     1.00    0.00    0       -1    0.00 1
	AITarget            115     2329.11 4422.46 255     1.00    0.00    0       -1    0.00 1
Buildings_EndDefinition

