MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Domination 
	PopulationCap	4000
	DefenderPopulationCap	-1
        InvalidCrates   slowdown speedup
        LevelOptions    noradarcontrol
	NumPlayers	4
	Difficulty	advanced
	   493   0.00    683    384  1.20   1.00     30      1 1904804   1.00     0
	    78   0.00    400    694  1.20   1.00    100      0 1177318   1.00     0
	    -7   0.00    285    364  1.20   1.00     30      0 1866459   1.00     0
	   264   0.00    148    384  1.20   1.00     30      1 2104965   1.00     0
	    99   0.00   1250    404  1.20   1.00     30      1 2162600   1.00     0
	   854   0.00    616    354  1.20   1.00     20      1      1   1.00     0
	   803   0.00    604    384  1.20   1.00    200      1      1   1.00     0
	  1722   0.00    963    164  1.20   1.00    100      1 2011217   1.00     0
	  1119   0.00    386    384  1.20   1.00    200      0 2097663   1.00     0
	   314   0.00   1669    294  1.20   1.00     30      1 166688   1.00     0
	   397   0.00   1669    294  1.20   1.00     30      1 166688   1.00     0
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	1110.7  -10.0 1795.2   76.8
	1055.6   34.4  310.2   40.0
	1611.4   14.7  129.6   40.0
	 907.0   22.5 1667.3   40.0
	1119.5   19.5 1214.2   40.0
	 779.6    6.3  978.6   40.0
	1312.0   11.3 1225.7   40.0
	1335.1   16.4  863.5   40.0
	 644.7   14.2  452.3   40.0
	1305.4   35.1  715.2   40.0
	 975.3   21.6  759.2   40.0
	 234.8    9.1  984.6   40.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
         -0.75   0.44   0.50     0.85   0.85   0.85
	 -0.99   0.00   0.15     1.19   0.72   0.50

Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	SpawnPoint          0       901.63  1675.70 2       0.66    -0.75   0       
	SpawnPoint          1       1126.75 1205.59 2       0.02    1.00    0       
	SpawnPoint          2       1402.66 1658.76 2       -0.99   -0.14   0       
	SpawnPoint          3       831.42  1353.10 2       1.00    0.00    0       
	SpawnPoint          4       1461.28 948.95  3       -0.03   -1.00   0       
	SpawnPoint          5       1128.47 972.50  3       0.90    -0.44   0       
	SpawnPoint          6       1780.66 1317.34 0       1.00    0.05    0       
	SpawnPoint          7       1774.27 328.23  0       -0.67   0.75    0       
	SpawnPoint          8       1611.36 126.01  0       0.02    1.00    0       
	SpawnPoint          9       1697.71 601.36  0       -1.00   -0.01   0       
	SpawnPoint          10      1063.79 311.40  0       -0.08   1.00    0       
	SpawnPoint          11      648.53  457.09  1       0.98    0.20    0       
	SpawnPoint          12      453.25  336.99  1       0.62    0.78    0       
	SpawnPoint          13      167.35  412.44  1       0.50    0.87    0       
	SpawnPoint          14      239.00  1002.79 1       1.00    -0.00   0       
	SpawnPoint          15      221.01  1358.83 255     1.00    0.00    0       
	RadarDish           16      878.33  1100.37 255     0.61    0.80    1       0    1    17       
	RadarDish           17      777.21  971.04  255     -0.68   -0.74   1       0    1    16       
	RadarDish           23      1311.92 1222.86 255     -0.05   1.00    1       0    1    24       
	RadarDish           24      1341.30 865.11  255     0.09    -1.00   1       0    1    23       
	RadarDish           25      1410.39 1508.88 255     -1.00   0.07    1       0    1    26       
	RadarDish           26      1821.54 1450.35 255     0.97    -0.23   1       0    1    25       
	Tree                29      1692.36 865.79  255     1.00    0.00    0       100.00  1.00    1.00    1.00    6       0       -10181201   -12779716   0       
	Tree                30      1816.52 809.86  255     1.00    0.00    0       100.00  1.00    1.00    1.00    6       0       -10181201   -12779716   0       
	Tree                28      1133.15 1453.12 255     1.00    0.00    0       125.00  1.00    1.00    1.00    6       0       -10181201   -12779716   0       
	Tree                31      352.99  1549.64 255     1.00    0.00    0       50.00   1.00    1.00    1.00    6       0       -10181201   -12779716   0       
	Tree                32      881.18  561.69  255     1.00    0.00    0       125.00  1.00    1.00    1.00    6       0       -10181201   -12779716   0       
	SpawnPoint          33      1315.42 709.34  3       0.02    1.00    0       
	SpawnPoint          34      984.92  762.13  0       -0.59   -0.81   0
	SpawnPointMaster    35      440.84  1825.32 1       1.00    0.00    1       37    36    38    15    
	SpawnLink           36      690.89  1826.91 1       1.00    0.00    0       0     44    
	SpawnLink           37      194.33  1622.91 1       1.00    0.00    0       41    
	SpawnLink           38      591.98  1375.01 1       1.00    0.00    0       39    3     
	SpawnLink           39      899.99  971.72  1       1.00    0.00    0       40    34    5     1     50    
	SpawnLink           41      64.72   1185.82 1       1.00    0.00    0       14    43    
	SpawnLink           43      49.02   144.73  1       1.00    0.00    0       13    12    47    
	SpawnLink           44      1096.66 1958.68 1       1.00    0.00    0       45    
	SpawnLink           45      1571.94 1944.96 1       1.00    0.00    0       46    2     
	SpawnLink           46      1623.92 1526.68 1       1.00    0.00    0       6     
	SpawnLink           47      583.48  131.89  1       1.00    0.00    0       11    42    
	SpawnLink           40      1534.36 1163.36 1       1.00    0.00    0       4     
	SpawnLink           42      1295.49 44.57   1       1.00    0.00    0       10    8     48    
	SpawnLink           48      1866.23 26.13   1       1.00    0.00    0       7     49    
	SpawnLink           49      1948.01 618.04  1       1.00    0.00    0       9     
	SpawnLink           50      1083.55 795.61  1       1.00    0.00    0       33
	AITarget            18      1065.19 341.03  1       1.00    0.00    0       
	AITarget            19      965.62  737.73  1       1.00    0.00    0       
	AITarget            20      679.85  456.05  1       1.00    0.00    0       
	AITarget            21      464.55  358.56  1       1.00    0.00    0       
	AITarget            22      551.52  589.58  1       1.00    0.00    0       
	AITarget            27      179.80  420.52  1       1.00    0.00    0       
	AITarget            51      225.55  651.84  1       1.00    0.00    0       
	AITarget            52      308.69  999.37  1       1.00    0.00    0       
	AITarget            54      1316.03 733.26  1       1.00    0.00    0       
	AITarget            55      1144.16 965.39  1       1.00    0.00    0       
	AITarget            56      1456.74 927.99  1       1.00    0.00    0       
	AITarget            57      1650.82 604.90  1       1.00    0.00    0       
	AITarget            58      1748.63 375.35  1       1.00    0.00    0       
	AITarget            59      1611.94 175.41  1       1.00    0.00    0       
	AITarget            60      1823.55 1199.33 1       1.00    0.00    0       
	AITarget            62      1339.25 1630.23 1       1.00    0.00    0       
	AITarget            64      1133.88 1277.44 1       1.00    0.00    0       
	AITarget            66      898.72  1354.81 1       1.00    0.00    0       
	AITarget            68      921.42  1608.57 1       1.00    0.00    0       
	AITarget            69      1311.66 1226.02 1       1.00    0.00    0       
	AITarget            70      1793.28 1039.16 1       1.00    0.00    0       
	AITarget            71      1482.34 391.62  1       1.00    0.00    0       
	AITarget            73      1254.07 839.08  1       1.00    0.00    0       
	AITarget            74      1098.97 653.85  1       1.00    0.00    0       
	AITarget            75      1499.00 737.90  1       1.00    0.00    0       
	AITarget            53      465.88  954.69  1       1.00    0.00    0       
	AITarget            61      878.46  1101.83 1       1.00    0.00    0       
	AITarget            63      1409.30 1516.03 1       1.00    0.00    0       
	AITarget            65      1818.44 1453.89 1       1.00    0.00    0       
	AITarget            67      778.74  975.32  1       1.00    0.00    0       
	AITarget            72      1337.20 866.71  1       1.00    0.00    0       
	AITarget            77      1752.63 838.08  1       1.00    0.00    0       
	AITarget            78      269.45  1358.45 1       1.00    0.00    0                        
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
CameraMounts_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
        Darwinian        0   1575.75 415.36    175   0      -1    50.0     0.0     0.0   -1   -1    0
        Darwinian        0   1770.81 928.10    50    0      -1    30.0     0.0     0.0   -1   -1    0
        Darwinian        0   1828.91 1369.02   50    0      -1    30.0     0.0     0.0   -1   -1    0
        Darwinian        0   1077.62 389.26    25    0      -1    30.0     0.0     0.0   -1   -1    0
        Darwinian        0   945.79  666.43    25    0      -1    30.0     0.0     0.0   -1   -1    0
        Darwinian        2   1132.94 1521.38   250   0      -1    75.0     0.0     0.0   -1   -1    0
        Darwinian        1   482.72  630.85    250   0      -1    50.0     0.0     0.0   -1   -1    0
        Darwinian        3   1216.26 879.30    150   0      -1    35.0     0.0     0.0   -1   -1    0
        Darwinian        3   1444.78 862.65    150   0      -1    35.0     0.0     0.0   -1   -1    0       
InstantUnits_EndDefinition

